country,iso3c,year,GDPpc,GNIpc
Germany,DEU,2000,27467.7824174767,27300
Germany,DEU,2001,28677.1908591132,28470
Germany,DEU,2002,29513.6823267102,29200
Germany,DEU,2003,30305.2575678401,29990
Germany,DEU,2004,31757.4177276181,31950
Germany,DEU,2005,32313.736788417,32580
Germany,DEU,2006,34748.7543257238,35330
Germany,DEU,2007,36915.3252832162,37440
Germany,DEU,2008,38443.5386278958,38810
Germany,DEU,2009,37554.4426993174,38390
Germany,DEU,2010,39730.4897885271,40520
Germany,DEU,2011,43398.3443992496,44510
Germany,DEU,2012,44229.3941921739,45290
Germany,DEU,2013,45889.0173022052,46960
Germany,DEU,2014,47938.7968210418,48940
Germany,DEU,2015,48558.4432970969,49510
Germany,DEU,2016,51569.9016841199,53040
Germany,DEU,2017,54110.2536648812,55480
Germany,DEU,2018,56273.0405627017,58480
Germany,DEU,2019,59270.7276496985,61460
Germany,DEU,2020,58685.872699771,60170
Germany,DEU,2021,62530.7653199239,64640
Germany,DEU,2022,67589.8399055414,70040
Germany,DEU,2023,68692.894466622,71100
Germany,DEU,2024,72300.1205050011,74880
Norway,NOR,2000,36986.4941984639,36480
Norway,NOR,2001,37833.4804107324,37850
Norway,NOR,2002,38056.2404278106,38160
Norway,NOR,2003,38684.7096825099,38900
Norway,NOR,2004,42672.9375348936,42750
Norway,NOR,2005,47966.8640112608,48490
Norway,NOR,2006,54369.1766461345,54410
Norway,NOR,2007,56181.3045666857,56010
Norway,NOR,2008,62072.7539854909,61800
Norway,NOR,2009,55618.6337641836,55930
Norway,NOR,2010,58219.6143463523,58850
Norway,NOR,2011,62460.0908157002,63060
Norway,NOR,2012,65774.3520746224,66330
Norway,NOR,2013,67377.9262258772,68090
Norway,NOR,2014,66332.4614374198,68420
Norway,NOR,2015,60754.1816916377,63260
Norway,NOR,2016,59280.1992028829,61860
Norway,NOR,2017,64589.5559196863,66940
Norway,NOR,2018,70253.8463693386,73090
Norway,NOR,2019,70939.605518036,73110
Norway,NOR,2020,67110.6045705502,69890
Norway,NOR,2021,88984.1386736515,88780
Norway,NOR,2022,123150.172908009,123270
Norway,NOR,2023,100437.326744584,105610
Norway,NOR,2024,101031.587516818,105770
Philippines,PHL,2000,3365.55833537799,3680
Philippines,PHL,2001,3468.898883231,3800
Philippines,PHL,2002,3580.38245474744,3920
Philippines,PHL,2003,3761.49624595071,4120
Philippines,PHL,2004,4037.17193792289,4410
Philippines,PHL,2005,4289.05223691996,4710
Philippines,PHL,2006,4578.70630898161,5000
Philippines,PHL,2007,4923.19718572577,5370
Philippines,PHL,2008,5144.3357818823,5630
Philippines,PHL,2009,5157.2782508844,5750
Philippines,PHL,2010,5489.23543457601,6110
Philippines,PHL,2011,5705.43591174904,6320
Philippines,PHL,2012,6094.26837338658,6770
Philippines,PHL,2013,6372.83382112545,7120
Philippines,PHL,2014,6688.73961232553,7460
Philippines,PHL,2015,6894.26702217935,7680
Philippines,PHL,2016,7382.66758431792,8200
Philippines,PHL,2017,7773.79853599024,8630
Philippines,PHL,2018,8357.74357934219,9250
Philippines,PHL,2019,8924.10116402887,9820
Philippines,PHL,2020,8238.36802037457,8860
Philippines,PHL,2021,8857.78995115514,9170
Philippines,PHL,2022,10131.346369794,10730
Philippines,PHL,2023,10985.8292627505,12190
Philippines,PHL,2024,11794.1375488492,13330
Qatar,QAT,2000,88848.6270265346,81850
Qatar,QAT,2001,89804.8602762009,86200
Qatar,QAT,2002,93176.4527019753,88860
Qatar,QAT,2003,94120.2880704122,92450
Qatar,QAT,2004,110957.735359888,103120
Qatar,QAT,2005,115250.305890831,100460
