country,iso3c,GDPpc,NaturalRessourceRent
Afghanistan,AFG,2144.16657002819,0.428525449642917
Africa Eastern and Southern,AFE,3907.24912735149,5.70676599955347
Africa Western and Central,AFW,4746.75278504545,7.39469398003105
Albania,ALB,16126.7774931931,1.44260146706838
Algeria,DZA,14496.8654697299,22.5902703479201
American Samoa,ASM,NA,0
Andorra,AND,59332.2029100127,0
Angola,AGO,7408.12659121059,29.9674348417559
Antigua and Barbuda,ATG,25745.4958067746,0
Arab World,ARB,16001.6305710559,17.4255655322165
Argentina,ARG,26300.274261175,2.65308888983975
Armenia,ARM,15921.705281964,7.05429982361028
Aruba,ABW,35696.3093722926,0.0020661282461218
Australia,AUS,58182.3369477501,13.3578752832739
Austria,AUT,62968.9422311892,0.117855774382781
Azerbaijan,AZE,20111.3756952109,29.9383945565987
"Bahamas, The",BHS,31064.6822166194,0.0147540061086709
Bahrain,BHR,54954.6757895532,16.6400337175308
Bangladesh,BGD,7441.06913961254,0.610069177584654
Barbados,BRB,15683.8847128096,0.328405869203115
Belarus,BLR,27611.1801135157,1.86330240223309
Belgium,BEL,60669.2137746531,0.0448914290094104
Belize,BLZ,11677.4610095172,0.523036536890701
Benin,BEN,3464.2886286745,2.30442028320417
Bermuda,BMU,92319.6714861219,0
Bhutan,BTN,13458.812666743,2.73325446048629
Bolivia,BOL,9454.19814680002,9.46769419569564
Bosnia and Herzegovina,BIH,18285.6711242953,0.813398711441269
Botswana,BWA,17960.6254431256,1.03853443914101
Brazil,BRA,18075.7060049068,7.94111199933246
British Virgin Islands,VGB,NA,NA
Brunei Darussalam,BRN,78248.7971101454,24.2800139399884
Bulgaria,BGR,30971.9131888346,0.917744335906696
Burkina Faso,BFA,2486.43093147762,20.1354014379911
Burundi,BDI,836.665571337829,13.9570339894077
Cabo Verde,CPV,7685.41921393669,17.6577234520724
Cambodia,KHM,6225.53265474741,0.835283715830679
Cameroon,CMR,4793.55628200196,5.52598268395679
Canada,CAN,56995.1176781351,4.94905581435186
Caribbean small states,CSS,23346.6288582155,4.76533754174783
Cayman Islands,CYM,74150.8580949692,0
Central African Republic,CAF,1128.55237996459,10.2601957578803
Central Europe and the Baltics,CEB,40160.7526744665,0.447889872180279
Chad,TCD,2435.072746511,21.3429312625159
Channel Islands,CHI,NA,NA
Chile,CHL,29089.850459728,16.9044168802743
China,CHN,20843.2978347377,1.70756488252672
Colombia,COL,17383.0901728295,5.32396445388134
