country,gdp_pc_ppp,gini,life_exp
Afghanistan,2368.981235794634,NA,62.574400000000004
Albania,15714.90652036708,29.866666666666667,78.4284
Algeria,14125.82658871956,NA,75.1662
American Samoa,NA,NA,72.7354
Andorra,58523.56899037988,NA,82.821
Angola,7331.989539512766,51.3,63.1986
Antigua and Barbuda,25824.85613723356,NA,77.2282
Argentina,25243.70683321174,42.160000000000004,75.8498
Armenia,15528.52806917922,29.06,74.45219512195123
Aruba,36943.90388414814,NA,75.4372
Australia,56178.9973583642,34.05,83.06975609756098
Austria,61843.66836457406,30.48,81.45317073170732
Azerbaijan,17957.07043066104,NA,72.3484
"Bahamas, The",33280.8646628408,NA,72.7414
Bahrain,55732.20271142004,NA,79.7282
Bangladesh,6813.897074391122,30.9,72.3072
Barbados,17721.2551913354,NA,76.3552
Belarus,24648.11129299312,24.966666666666665,73.34316585365856
Belgium,58825.26941064274,26.68,81.56487804878049
Belize,10964.098146343678,39.9,71.9172
Benin,3333.463298223146,36.15,59.9674
Bermuda,91914.23149488145,NA,81.5
Bhutan,13175.26674616972,28.5,72.2342
Bolivia,9249.437151168368,41.980000000000004,65.4572
Bosnia and Herzegovina,17412.12264304918,NA,76.544
Botswana,16995.11150788444,NA,66.64659999999999
Brazil,17117.55166380994,52.24,74.77159999999999
British Virgin Islands,NA,NA,76.5882
Brunei Darussalam,72868.20253528818,NA,74.5882
Bulgaria,29006.93800838642,39.86,73.7609756097561
Burkina Faso,2362.902046089334,40.2,60.2712
Burundi,808.870613423792,37.5,62.3076
Cabo Verde,8116.249377830292,NA,74.8876
Cambodia,6171.555598694332,NA,70.0016
Cameroon,4519.971236369574,42.2,61.6294
Canada,53929.13882057276,31.3,81.6539512195122
Cayman Islands,73316.37385811225,NA,79.2802
Central African Republic,1060.6706356577884,43,38.704
Chad,2409.11564453845,37.45,53.2372
Channel Islands,NA,NA,80.9
Chile,27235.58296767,45,79.6568
China,19208.40972523898,37.1,77.9974
Colombia,17003.80777355242,53.019999999999996,75.467
Comoros,3410.8171488124817,NA,65.7002
"Congo, Dem. Rep.",1234.0940065199761,44.7,60.3238
"Congo, Rep.",5798.893281398736,NA,64.2414
Costa Rica,23343.03554001194,48.260000000000005,79.4954
Cote d'Ivoire,5754.103068140398,36.25,60.4122
Croatia,34668.09169821942,29.4,77.53365853658538
Cuba,NA,NA,76.6152
Curacao,25306.99920056672,NA,76.3802
Cyprus,46824.9171875,31.68,81.04939999999999
Czechia,46319.51071302024,25.72,78.52731707317072
Denmark,65525.27905703458,28.2,81.34341463414636
Djibouti,5717.910289302578,NA,64.41120000000001
Dominica,15989.06207353136,NA,70.973
Dominican Republic,20687.83518862048,40.14,73.0542
Ecuador,12992.44357060878,45.94,75.1722
"Egypt, Arab Rep.",14806.13211628046,30.2,70.3926
El Salvador,10207.776338777592,38.8,71.0526
Equatorial Guinea,16700.60842589508,38.5,62.431
Eritrea,NA,NA,67.1988
Estonia,42086.60905224554,31.18,78.05463414634148
Eswatini,9538.879677714149,NA,59.935
Ethiopia,2435.57753874112,31.1,65.8388
Faroe Islands,64978.2221837513,NA,82.63365853658539
Fiji,12407.66514711602,30.7,66.59
Finland,54591.78057159188,27.54,81.74439024390244
France,51138.335422458964,31.4,82.42634146341464
